Grade,Subject,Chapter,Topic_title,Topic_description,Topic_objective,Topic_teacher_name,Topic_url_demo,Video_title,Video_local,Video_wistia,Quiz_title,Quiz_starsrequired,Quiz_questions,Quiz_description,Quiz_subtitle,Quiz_estimatedMaxTime
Tercer Semestre,Matematicas,Numeros 10,Numeros 1.10,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.109.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.109.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.109.1 quiz1.1,78
Tercer Semestre,Matematicas,Numeros 11,Numeros 1.11,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1110.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1110.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1110.1 quiz1.1,51
Tercer Semestre,Matematicas,Numeros 12,Numeros 1.12,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1211.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1211.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1211.1 quiz1.1,69
Cuarto Semestre,Matematicas,Numeros 13,Numeros 1.13,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1312.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1312.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1312.1 quiz1.1,85
Cuarto Semestre,Matematicas,Numeros 14,Numeros 1.14,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1413.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1413.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1413.1 quiz1.1,15
Cuarto Semestre,Matematicas,Numeros 15,Numeros 1.15,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1514.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1514.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1514.1 quiz1.1,53
Cuarto Semestre,Matematicas,Numeros 16,Numeros 1.16,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1615.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1615.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1615.1 quiz1.1,100
Quinto Semestre,Matematicas,Numeros 17,Numeros 1.17,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1716.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1716.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1716.1 quiz1.1,94
Quinto Semestre,Matematicas,Numeros 18,Numeros 1.18,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1817.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1817.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1817.1 quiz1.1,2
Quinto Semestre,Matematicas,Numeros 19,Numeros 1.19,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.1918.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.1918.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.1918.1 quiz1.1,4
Sexto Semestre,Matematicas,Numeros 20,Numeros 1.20,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.2019.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.2019.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.2019.1 quiz1.1,19
Sexto Semestre,Matematicas,Numeros 21,Numeros 1.21,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.2120.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.2120.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.2120.1 quiz1.1,100
Sexto Semestre,Matematicas,Numeros 22,Numeros 1.22,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.2221.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.2221.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.2221.1 quiz1.1,64
Sexto Semestre,Matematicas,Numeros 23,Numeros 1.23,Mat,Aprender,Marcos Gonzalez,Sin demo,Numeros 1.2322.1,http://video_platform.mx/videos/chalkboard.mp4,sin video,Numeros 1.2322.1 quiz,0,"[{""question"": ""¿Qué es un Numero Negativo?"",""res"": ""1"",""opc"": [ {""1"": ""a) Un número negativo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número negativo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número negativo es cualquier número cuyo valor es cero"" },{""4"": ""d) Un número negativo es cualquier número cuyo valor contenga una resta.""}],""stars"": 3,""rupees"": 1,""maps"": 4 },{""question"": ""¿Qué es un Numero Positivo"",""res"": ""2"",""opc"": [{""1"": ""a) Un número positivo es cualquier número cuyo valor es menor que cero.""},{""2"": ""b) Un número positivo es cualquier número cuyo valor es mayor que cero""},{""3"": ""c) Un número positivo es cualquier número cuyo valor es cero""},{""4"": ""d) Un número positivo es cualquier número cuyo valor contenga una resta."" }],""stars"": 2,""rupees"": 1,""maps"": 5}]",Examen Fake,Numeros 1.2322.1 quiz1.1,5
